Channels:	1
Count:	8641
Start:	2460793.1472222223	04/27/25 15:32:00
End:	2460793.1472222223	04/28/25 15:31:50
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
04/27/25	16:21:20	0	2960.0	2
04/27/25	16:21:30	0	2970.0	2
04/27/25	16:21:40	0	2980.0	2
04/27/25	16:21:50	0	2990.0	2
04/27/25	16:22:00	0	3000.0	2
04/27/25	16:22:10	0	3010.0	2
04/27/25	16:22:20	0	3020.0	2
04/27/25	16:22:30	0	3030.0	2
04/27/25	16:22:40	0	3040.0	2
04/27/25	16:22:50	0	3050.0	1
04/27/25	16:23:00	0	3060.0	2
04/27/25	16:23:10	0	3070.0	2
04/27/25	16:23:20	0	3080.0	2
04/27/25	16:23:30	0	3090.0	2
04/27/25	16:23:40	0	3100.0	2
04/27/25	16:23:50	0	3110.0	1
04/27/25	16:24:00	0	3120.0	2
04/27/25	16:24:10	0	3130.0	2
04/27/25	16:24:20	0	3140.0	2
04/27/25	16:24:30	0	3150.0	2
04/27/25	16:24:40	0	3160.0	1
04/27/25	16:24:50	0	3170.0	1
04/27/25	16:25:00	0	3180.0	1
04/27/25	16:25:10	0	3190.0	1
04/27/25	16:25:20	0	3200.0	1
04/27/25	16:25:30	0	3210.0	1
04/27/25	16:25:40	0	3220.0	2
04/27/25	16:25:50	0	3230.0	2
04/27/25	16:26:00	0	3240.0	2
04/27/25	16:26:10	0	3250.0	1
04/27/25	16:26:20	0	3260.0	2
04/27/25	16:26:30	0	3270.0	2
04/27/25	16:26:40	0	3280.0	2
04/27/25	16:26:50	0	3290.0	2
04/27/25	16:27:00	0	3300.0	2
04/27/25	16:27:10	0	3310.0	2
04/27/25	16:27:20	0	3320.0	2
04/27/25	16:27:30	0	3330.0	3
04/27/25	16:27:40	0	3340.0	3
04/27/25	16:27:50	0	3350.0	3
04/27/25	16:28:00	0	3360.0	3
04/27/25	16:28:10	0	3370.0	1
04/27/25	16:28:20	0	3380.0	1
04/27/25	16:28:30	0	3390.0	1
04/27/25	16:28:40	0	3400.0	1
04/27/25	16:28:50	0	3410.0	2
04/27/25	16:29:00	0	3420.0	2
04/27/25	16:29:10	0	3430.0	3
04/27/25	16:29:20	0	3440.0	3
04/27/25	16:29:30	0	3450.0	3
04/27/25	16:29:40	0	3460.0	3
04/27/25	16:29:50	0	3470.0	3
04/27/25	16:30:00	0	3480.0	3
04/27/25	16:30:10	0	3490.0	3
04/27/25	16:30:20	0	3500.0	1
04/27/25	16:30:30	0	3510.0	1
04/27/25	16:30:40	0	3520.0	1
04/27/25	16:30:50	0	3530.0	1
04/27/25	16:31:00	0	3540.0	2
04/27/25	16:31:10	0	3550.0	1
04/27/25	16:31:20	0	3560.0	1
04/27/25	16:31:30	0	3570.0	2
04/27/25	16:31:40	0	3580.0	2
04/27/25	16:31:50	0	3590.0	2
04/27/25	16:32:00	0	3600.0	2
04/27/25	16:32:10	0	3610.0	2
04/27/25	16:32:20	0	3620.0	2
04/27/25	16:32:30	0	3630.0	2
04/27/25	16:32:40	0	3640.0	3
04/27/25	16:32:50	0	3650.0	3
